symbol,date
NTRNUSDT,2025-11-22
NXPCUSDC,2025-11-22
NXPCUSDT,2025-11-22
OGNUSDT,2025-11-22
OGUSDT,2025-11-22
OMUSDC,2025-11-22
OMUSDT,2025-11-22
ONDOUSDC,2025-11-22
ONDOUSDT,2025-11-22
ONEUSDT,2025-11-22
ONGUSDT,2025-11-22
ONTUSDT,2025-11-22
OPENUSDC,2025-11-22
OPENUSDT,2025-11-22
OPUSDC,2025-11-22
OPUSDT,2025-11-22
ORCAUSDT,2025-11-22
ORDIUSDC,2025-11-22
ORDIUSDT,2025-11-22
OSMOUSDT,2025-11-22
OXTUSDT,2025-11-22
PARTIUSDC,2025-11-22
PARTIUSDT,2025-11-22
PAXGUSDC,2025-11-22
PAXGUSDT,2025-11-22
PENDLEUSDC,2025-11-22
PENDLEUSDT,2025-11-22
PENGUUSDC,2025-11-22
PENGUUSDT,2025-11-22
PEOPLEUSDT,2025-11-22
PEPEUSDC,2025-11-22
PEPEUSDT,2025-11-22
PHAUSDT,2025-11-22
PHBUSDT,2025-11-22
PIVXUSDT,2025-11-22
PIXELUSDC,2025-11-22
PIXELUSDT,2025-11-22
PLUMEUSDC,2025-11-22
PLUMEUSDT,2025-11-22
PNUTUSDC,2025-11-22
PNUTUSDT,2025-11-22
POLUSDC,2025-11-22
POLUSDT,2025-11-22
POLYXUSDT,2025-11-22
PONDUSDT,2025-11-22
PORTALUSDT,2025-11-22
PORTOUSDT,2025-11-22
POWRUSDT,2025-11-22
PROMUSDT,2025-11-22
PROVEUSDC,2025-11-22
PROVEUSDT,2025-11-22
PSGUSDT,2025-11-22
PUMPUSDC,2025-11-22
PUMPUSDT,2025-11-22
PUNDIXUSDT,2025-11-22
PYRUSDT,2025-11-22
PYTHUSDC,2025-11-22
PYTHUSDT,2025-11-22
QIUSDT,2025-11-22
QNTUSDC,2025-11-22
QNTUSDT,2025-11-22
QTUMUSDT,2025-11-22
QUICKUSDT,2025-11-22
RADUSDT,2025-11-22
RAREUSDT,2025-11-22
RAYUSDC,2025-11-22
RAYUSDT,2025-11-22
RDNTUSDT,2025-11-22
REDUSDT,2025-11-22
REIUSDT,2025-11-22
RENDERUSDC,2025-11-22
RENDERUSDT,2025-11-22
REQUSDT,2025-11-22
RESOLVUSDC,2025-11-22
RESOLVUSDT,2025-11-22
REZUSDT,2025-11-22
RIFUSDT,2025-11-22
RLCUSDT,2025-11-22
RONINUSDT,2025-11-22
ROSEUSDT,2025-11-22
RPLUSDT,2025-11-22
RSRUSDC,2025-11-22
RSRUSDT,2025-11-22
RUNEUSDC,2025-11-22
RUNEUSDT,2025-11-22
RVNUSDT,2025-11-22
SAGAUSDC,2025-11-22
SAGAUSDT,2025-11-22
SAHARAUSDT,2025-11-22
SANDUSDC,2025-11-22
SANDUSDT,2025-11-22
SANTOSUSDT,2025-11-22
SAPIENUSDC,2025-11-22
SAPIENUSDT,2025-11-22
SCRTUSDT,2025-11-22
SCRUSDT,2025-11-22
SCUSDT,2025-11-22
SEIUSDC,2025-11-22
SEIUSDT,2025-11-22
SFPUSDT,2025-11-22
SHELLUSDT,2025-11-22
SHIBUSDC,2025-11-22
SHIBUSDT,2025-11-22
SIGNUSDT,2025-11-22
SKLUSDT,2025-11-22
SKYUSDC,2025-11-22
SKYUSDT,2025-11-22
SLPUSDT,2025-11-22
SNXUSDC,2025-11-22
SNXUSDT,2025-11-22
SOLUSDC,2025-11-22
SOLUSDT,2025-11-22
SOLVUSDC,2025-11-22
SOLVUSDT,2025-11-22
SOMIUSDC,2025-11-22
SOMIUSDT,2025-11-22
SOPHUSDC,2025-11-22
SOPHUSDT,2025-11-22
SPELLUSDT,2025-11-22
SPKUSDC,2025-11-22
SPKUSDT,2025-11-22
SSVUSDT,2025-11-22
STEEMUSDT,2025-11-22
STGUSDT,2025-11-22
STORJUSDT,2025-11-22
STOUSDT,2025-11-22
STRAXUSDT,2025-11-22
STRKUSDC,2025-11-22
STRKUSDT,2025-11-22
STXUSDC,2025-11-22
STXUSDT,2025-11-22
SUIUSDC,2025-11-22
SUIUSDT,2025-11-22
SUNUSDT,2025-11-22
